repo_url,schema_name,helm_name,crd_path,file_path,file_sha
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_00_clusters.open-cluster-management.io_managedclusters.crd.yaml,87ce74bb52f886dc5dbf7d4cda7b08df147ae710
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_00_clusters.open-cluster-management.io_managedclustersets.crd.yaml,a825f9cf206c83dae94e36e5ad6afb5b1c69271e
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_00_multicluster.x-k8s.io_clusterprofiles.crd.yaml,01bd9e83856bcc7a6387d84d81ada03d3f6695f0
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_00_work.open-cluster-management.io_manifestworkreplicasets.crd.yaml,5acc575422e375d4878bdac9e3a28c8956199dae
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_00_work.open-cluster-management.io_manifestworks.crd.yaml,24ab56e7f69a77d3a9a8ad9f9ae3a22b748be616
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_01_addon.open-cluster-management.io_managedclusteraddons.crd.yaml,4d9765b680cdf9132b976f297db70e13347ca22e
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_01_clusters.open-cluster-management.io_managedclustersetbindings.crd.yaml,71fd676b3cd8fd9c158dc21dcb8d8b395a99032d
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_02_addon.open-cluster-management.io_addondeploymentconfigs.crd.yaml,2cf98b6fb46612ca9079906ad3806edcab61e24a
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_02_clusters.open-cluster-management.io_placements.crd.yaml,707303546b79e3c79542b029750d9d9a6adee101
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_03_addon.open-cluster-management.io_addontemplates.crd.yaml,63a312ef69287186627a2550862ca0846973e259
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_03_clusters.open-cluster-management.io_placementdecisions.crd.yaml,72f9b18a3cafb216c32195b35651e01800a0a86a
https://github.com/open-cluster-management-io/ocm,addon.open-cluster-management.io,ocm,manifests/cluster-manager/hub/crds,manifests/cluster-manager/hub/crds/0000_05_clusters.open-cluster-management.io_addonplacementscores.crd.yaml,56a1fa794447d4a4df8ced405f9d080dc1749499
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/addons.cluster.x-k8s.io_clusterresourcesetbindings.yaml,c847451775897d2645846b4be7affe45ca621f5b
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/addons.cluster.x-k8s.io_clusterresourcesets.yaml,f76f1bbddb49d521ecd1dd74e685a32cd23cb0f0
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_clusterclasses.yaml,e42c61e33e3e37bb66d2dc117117507210bfdaf5
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_clusters.yaml,088af56e960966378d950a540afba47ab73ef430
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_machinedeployments.yaml,2d43c323f321cf10b02fd7e0110bc05cef8daaa2
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_machinedrainrules.yaml,623db0f4ce8aa26f31024f097d422c7e762493fa
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_machinehealthchecks.yaml,d549b2f3ec2a726aa782ee4c88046e75902c52a6
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_machinepools.yaml,6f1740195f49a826f6f88e212530d2aee8020029
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_machines.yaml,ad5f4b1d2621198a60221a079e8b81d8cc0b47d3
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/cluster.x-k8s.io_machinesets.yaml,e28b4d329d02d3b5db3758cfadc21cdb39d3289c
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/ipam.cluster.x-k8s.io_ipaddressclaims.yaml,33b033e83cda2d1d57f0b3aa5c6d5e687fd7f443
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/ipam.cluster.x-k8s.io_ipaddresses.yaml,56bd6ff2058c62aee4caf639cdfd32aea62a93b9
https://github.com/kubernetes-sigs/cluster-api,addons.cluster.x-k8s.io,cluster-api,config/crd/bases,config/crd/bases/runtime.cluster.x-k8s.io_extensionconfigs.yaml,57cdc7e909d349cc507662c364fac526b191c41f
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/agent.k8s.elastic.co_agents.yaml,120e76e832984224b870fc0e0fb1d5ef5e92545b
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/apm.k8s.elastic.co_apmservers.yaml,4c4caba0a549953ec115478eda6c9b8720076acc
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/autoops.k8s.elastic.co_autoopsagentpolicies.yaml,17dcb23de223c462a22f7505dfe0792cc89b74ed
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/autoscaling.k8s.elastic.co_elasticsearchautoscalers.yaml,9e91fbbfaf621f7ceaeb1f8a7e08dc63a83c11f7
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/beat.k8s.elastic.co_beats.yaml,032539d3e02627ad2007c82679a784f7f6c50f13
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/elasticsearch.k8s.elastic.co_elasticsearches.yaml,e02a93236802778a7f13a3441cd8a44fc17a97f2
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/enterprisesearch.k8s.elastic.co_enterprisesearches.yaml,d0ce40bd0ab3ab898ed2f3140d276412192246f3
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/kibana.k8s.elastic.co_kibanas.yaml,320c78bb76d1e5891b5fad177e5cc869febe15f2
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/kustomization.yaml,2b618dea6820f2327ae7d26a2a57f816d0a5ed81
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/logstash.k8s.elastic.co_logstashes.yaml,7c30b2df000c551486b3e4d8a3d44436add8d17e
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/maps.k8s.elastic.co_elasticmapsservers.yaml,9dd7cd1dcd32190e3bc4e867491e81f91f39fd60
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/packageregistry.k8s.elastic.co_packageregistries.yaml,1d9c858b5d13b7713a211004372c02a508684d2e
https://github.com/elastic/cloud-on-k8s,agent.k8s.elastic.co,elastic,config/crds/v1/resources,config/crds/v1/resources/stackconfigpolicy.k8s.elastic.co_stackconfigpolicies.yaml,fa63cb792705b47b53dd63fdb00ac82876adb9c4
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_backends.yaml,2ab2dc28c4105fe8e0fac139032e542bf19c0347
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_backendtrafficpolicies.yaml,2d2501f9c4d0c0723b2814e246937281ab90364b
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_clienttrafficpolicies.yaml,cb64114dd64fa143876d73fe7c98a6ebd84c0208
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_envoyextensionpolicies.yaml,565cde30b1c1a09951736ef715eebd30cf84467b
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_envoypatchpolicies.yaml,e1dbfb2f3e614655487c135b56054f1d11bc1ecb
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_envoyproxies.yaml,994302717fd66eb1fcc0019d845b6eaff2f70500
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_httproutefilters.yaml,55406885ae3ec4731bd489dc2f779acedb741e53
https://github.com/envoyproxy/gateway,aigateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,charts/gateway-helm/charts/crds/crds/generated/gateway.envoyproxy.io_securitypolicies.yaml,eff15d74b42bc34f7b446350ff9eadade02e344c
https://github.com/aiven/aiven-operator,aiven.io,aiven,config/crd/bases,config/crd/bases/aiven.io_alloydbomnis.yaml,572715f89996b02203c12aee8c439dbc9965256d
https://github.com/aiven/aiven-operator,aiven.io,aiven,config/crd/bases,config/crd/bases/aiven.io_cassandras.yaml,1c473e9d73ba82a30a427f012c34f3a6be124812
