repo_url,schema_name,helm_name,crd_path,crd_last_sha,crd_last_updated
https://github.com/Altinity/clickhouse-operator,clickhouse.altinity.com,altinity-clickhouse,deploy/helm/clickhouse-operator/crds,0d708440c86eff0f780b184db4a4932a63c8a36b,2026-02-16T08:07:41Z
https://github.com/ClickHouse/clickhouse-operator,clickhouse.com,clickhouse,config/crd/bases,6f4f79ceda449c41d663c3670d178af03dc02635,2026-03-05T16:52:24Z
https://github.com/kubevirt/kubevirt,clone.kubevirt.io,kubevirt,staging/src/kubevirt.io/client-go/api,a23a67089c1a63f9303c80caec3e4b8f0e6455c6,2026-03-09T16:40:37Z
https://github.com/grafana/crossplane-provider-grafana,cloud.grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/adyanth/cloudflare-operator,cloudflare-operator.io,cloudflare,config/crd/bases,5b3e80ae4a29a4f388241ef6c4f8d8fe80648bdc,2025-05-06T04:39:46Z
https://github.com/aws-controllers-k8s/cloudfront-controller,cloudfront.services.k8s.aws,ack-cloudfront,config/crd/bases,e76ca8ad01471259b82ade2b9ad0586a6898bbf5,2025-11-12T23:28:50Z
https://github.com/grafana/crossplane-provider-grafana,cloudprovider.grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/GoogleCloudPlatform/gke-networking-recipes,cloudsql.cloud.google.com,gke-networking,gateway-api/config/mesh/crd/stable,ccb0d44e989d3f1cedc39b7dcd1cc5dc8f52a071,2022-05-12T22:20:14Z
https://github.com/aws-controllers-k8s/cloudtrail-controller,cloudtrail.services.k8s.aws,ack-cloudtrail,config/crd/bases,5445a9e890ba6d938d93a2b959bd7a4c5f466709,2025-11-12T22:47:50Z
https://github.com/aws-controllers-k8s/cloudwatch-controller,cloudwatch.services.k8s.aws,ack-cloudwatch,config/crd/bases,27ab69f821c7efc63b270c647ebb3c20ec76f46f,2025-10-02T22:29:21Z
